YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,INVOLVED,RELATED,Neighbourh
2016,2016-05-15 4:00:00 AM,30,0,DUNDAS ST W,OSSINGTON AVE,40 m East of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.649394,-79.420032,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,DARK,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,20 to 24,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,Motorist makes u-turn in-front of cyclist.,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",,Trinity-Bellwoods (81)
2013,2013-11-22 5:00:00 AM,31,0,HOSKIN AVE,ST GEORGE ST,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.664099,-79.398433,INTERSECTION,INTERSECTION RELATED,TRAFFIC SIGNAL,RAIN,"DARK, ARTIFICIAL",WET,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,20 to 24,MAJOR,SOUTH,BICYCLE,GOING AHEAD,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Unknown,"CYCLIST,AUTOMOBILE",,University (79)
2013,2013-11-22 5:00:00 AM,31,0,HOSKIN AVE,ST GEORGE ST,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.664099,-79.398433,INTERSECTION,INTERSECTION RELATED,TRAFFIC SIGNAL,RAIN,"DARK, ARTIFICIAL",WET,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,20 to 24,NONE,EAST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,UNKNOWN,,,,,,,"CYCLIST,AUTOMOBILE",,University (79)
2018,2018-09-15 4:00:00 AM,50,0,DUFFERIN ST,LAPPIN AV,8 m East of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.666419,-79.438152,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,45 to 49,NONE,NORTH,"AUTOMOBILE, STATION WAGON",MAKING U TURN,IMPROPER LANE CHANGE,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Dovercourt-Wallace Emerson-Junction (93)
2018,2018-09-15 4:00:00 AM,50,0,DUFFERIN ST,LAPPIN AV,8 m East of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.666419,-79.438152,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,45 to 49,MAJOR,NORTH,BICYCLE,GOING AHEAD,,,,,,,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",,Dovercourt-Wallace Emerson-Junction (93)
2018,2018-09-15 4:00:00 AM,50,0,DUFFERIN ST,LAPPIN AV,8 m East of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.666419,-79.438152,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,30 to 34,MINOR,NORTH,BICYCLE,GOING AHEAD,,,,,,,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",,Dovercourt-Wallace Emerson-Junction (93)
2015,2015-09-27 4:00:00 AM,54,0,KEELE ST,ANNETTE ST,9 m South of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.663642,-79.463794,INTERSECTION,INTERSECTION RELATED,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,25 to 29,MAJOR,SOUTH,BICYCLE,GOING AHEAD,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Normal,"CYCLIST, TRANSIT/CITY VEHICLE",,Junction Area (90)
2015,2015-09-27 4:00:00 AM,54,0,KEELE ST,ANNETTE ST,9 m South of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.663642,-79.463794,INTERSECTION,INTERSECTION RELATED,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,35 to 39,NONE,SOUTH,MUNICIPAL TRANSIT BUS (TTC),TURNING RIGHT,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST, TRANSIT/CITY VEHICLE",,Junction Area (90)
2018,2018-05-16 4:00:00 AM,55,0,QUEEN ST E,JARVIS  ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.653655,-79.373218,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,55 to 59,NONE,EAST,INTERCITY BUS,TURNING RIGHT,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST, TRANSIT/CITY VEHICLE",,Moss Park (73)
2018,2018-05-16 4:00:00 AM,55,0,QUEEN ST E,JARVIS  ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.653655,-79.373218,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,30 to 34,MAJOR,WEST,BICYCLE,GOING AHEAD,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Unknown,"CYCLIST, TRANSIT/CITY VEHICLE",,Moss Park (73)
2012,2012-09-16 4:00:00 AM,101,1,DAVENPORT RD,MOUNT ROYAL AVE,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.674545,-79.43259,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,MOPED DRIVER,60 to 64,MAJOR,EAST,MOPED,GOING AHEAD,FOLLOWING TOO CLOSE,HAD BEEN DRINKING,,,,,,,CYCLIST,AGGRESIVE AND DISTRACTED,Wychwood (94)
2012,2012-09-16 4:00:00 AM,101,1,DAVENPORT RD,MOUNT ROYAL AVE,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.674545,-79.43259,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,30 to 34,MINOR,EAST,BICYCLE,TURNING LEFT,,,,,,Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.,Driving Properly,Had Been Drinking,CYCLIST,AGGRESIVE AND DISTRACTED,Wychwood (94)
2017,2017-09-13 4:00:00 AM,105,1,BLOOR ST W,BRUNSWICK AVE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.665908,-79.407436,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,20 to 24,MAJOR,WEST,BICYCLE,MAKING U TURN,,,,,,Cyclist makes u-turn in-front of driver.,Improper Turn,Had Been Drinking,"CYCLIST,MOTORCYCLE",,University (79)
2017,2017-09-13 4:00:00 AM,105,1,BLOOR ST W,BRUNSWICK AVE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.665908,-79.407436,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,MOTORCYCLE DRIVER,20 to 24,NONE,EAST,MOTORCYCLE,GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,MOTORCYCLE",,University (79)
2012,2012-03-20 4:00:00 AM,114,1,KING STRE W,PETER STRE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.646045,-79.39229,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,OTHER,,,,,,,,,,"CYCLIST,AUTOMOBILE",,Waterfront Communities-The Island (77)
2012,2012-03-20 4:00:00 AM,114,1,KING STRE W,PETER STRE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.646045,-79.39229,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,55 to 59,NONE,EAST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Waterfront Communities-The Island (77)
2012,2012-03-20 4:00:00 AM,114,1,KING STRE W,PETER STRE,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.646045,-79.39229,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,20 to 24,MAJOR,SOUTH,BICYCLE,GOING AHEAD,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Inattentive,"CYCLIST,AUTOMOBILE",,Waterfront Communities-The Island (77)
2012,2012-09-02 4:00:00 AM,115,1,COLLEGE ST,LIPPINCOTT ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.656649,-79.406482,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,,,,,,,,,,,"CYCLIST,AUTOMOBILE",,Kensington-Chinatown (78)
2012,2012-09-02 4:00:00 AM,115,1,COLLEGE ST,LIPPINCOTT ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.656649,-79.406482,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,55 to 59,NONE,WEST,"AUTOMOBILE, STATION WAGON",MAKING U TURN,IMPROPER TURN,INATTENTIVE,,,,,,,"CYCLIST,AUTOMOBILE",,Kensington-Chinatown (78)
2012,2012-09-02 4:00:00 AM,115,1,COLLEGE ST,LIPPINCOTT ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.656649,-79.406482,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,20 to 24,MAJOR,WEST,BICYCLE,OVERTAKING,,,,,,Motorist makes u-turn in-front of cyclist.,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",,Kensington-Chinatown (78)
2014,2014-08-30 4:00:00 AM,115,1,QUEEN ST W,DUFFERIN ST,50 m East of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.642298,-79.427852,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,25 to 29,MAJOR,EAST,,GOING AHEAD,,,,,,Insufficient information (to determine cyclist crash type).,Other,Had Been Drinking,"CYCLIST, TRANSIT/CITY VEHICLE",,Little Portugal (84)
2014,2014-08-30 4:00:00 AM,115,1,QUEEN ST W,DUFFERIN ST,50 m East of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.642298,-79.427852,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,35 to 39,NONE,WEST,STREET CAR,GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST, TRANSIT/CITY VEHICLE",,Little Portugal (84)
2014,2014-08-22 4:00:00 AM,122,1,BLOOR ST E,PARLIAMENT ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.671954,-79.370693,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DARK,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,25 to 29,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,Motorist turned left across cyclists path.,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,Cabbagetown-South St.James Town (71)
2014,2014-08-22 4:00:00 AM,122,1,BLOOR ST E,PARLIAMENT ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.671954,-79.370693,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DARK,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,40 to 44,NONE,WEST,"AUTOMOBILE, STATION WAGON",TURNING LEFT,FAILED TO YIELD RIGHT OF WAY,INATTENTIVE,,,,,,,"CYCLIST,AUTOMOBILE",AGGRESIVE AND DISTRACTED,Cabbagetown-South St.James Town (71)
2012,2012-06-28 4:00:00 AM,155,1,UNIVERSITY AVE,ELM ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.656345,-79.38899,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,40 to 44,NONE,WEST,"AUTOMOBILE, STATION WAGON",TURNING LEFT,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Kensington-Chinatown (78)
2012,2012-06-28 4:00:00 AM,155,1,UNIVERSITY AVE,ELM ST,,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.656345,-79.38899,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,50 to 54,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Other,Unknown,"CYCLIST,AUTOMOBILE",,Kensington-Chinatown (78)
2015,2015-06-20 4:00:00 AM,155,1,CARLTON ST,HOMEWOOD AVE,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.662905,-79.374339,INTERSECTION,AT INTERSECTION,STOP SIGN,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,40 to 44,MAJOR,SOUTH,BICYCLE,GOING AHEAD,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Had Been Drinking,"CYCLIST,AUTOMOBILE",,Moss Park (73)
2015,2015-06-20 4:00:00 AM,155,1,CARLTON ST,HOMEWOOD AVE,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.662905,-79.374339,INTERSECTION,AT INTERSECTION,STOP SIGN,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,40 to 44,NONE,EAST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Moss Park (73)
2013,2013-06-27 4:00:00 AM,205,2,DAVENPORT RD,CHRISTIE ST,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.675545,-79.42309,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,unknown,NONE,WEST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DISOBEYED TRAFFIC CONTROL,UNKNOWN,,,,,,,"CYCLIST,AUTOMOBILE","AGGRESIVE AND DISTRACTED,REDLIGHT",Wychwood (94)
2013,2013-06-27 4:00:00 AM,205,2,DAVENPORT RD,CHRISTIE ST,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.675545,-79.42309,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,50 to 54,MAJOR,NORTH,BICYCLE,GOING AHEAD,,,,,,"Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.",Driving Properly,Normal,"CYCLIST,AUTOMOBILE","AGGRESIVE AND DISTRACTED,REDLIGHT",Wychwood (94)
2008,2008-06-15 4:00:00 AM,215,2,DUNDAS ST W,RONCESVALLES AVE,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.653645,-79.45139,MID-BLOCK,,NO CONTROL,CLEAR,DARK,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,unknown,NONE,WEST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,LOST CONTROL,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Roncesvalles (86)
2008,2008-06-15 4:00:00 AM,215,2,DUNDAS ST W,RONCESVALLES AVE,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.653645,-79.45139,MID-BLOCK,,NO CONTROL,CLEAR,DARK,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,35 to 39,MAJOR,WEST,BICYCLE,GOING AHEAD,,,,,,Motorist loses control and strikes cyclist.,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",,Roncesvalles (86)
2008,2008-11-14 5:00:00 AM,226,2,DOVERCOURT RD,ARGYLE ST,,COLLECTOR,TORONTO AND EAST YORK,43.646145,-79.42349,INTERSECTION,,NO CONTROL,CLEAR,DARK,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,OTHER,,,,,,,,,,"CYCLIST,AUTOMOBILE",,Little Portugal (84)
